
start_station_name,end_station_name,subscriber_count,customer_count,total_count
San Jose Diridon Caltrain Station,Adobe on Almaden,932,49,981
Harry Bridges Plaza (Ferry Building),Mechanics Plaza (Market at Battery),807,167,974
Townsend at 7th,Market at 10th,901,72,973
Civic Center BART (7th at Market),San Francisco Caltrain (Townsend at 4th),915,58,973
Embarcadero at Bryant,San Francisco Caltrain 2 (330 Townsend),880,90,970
Harry Bridges Plaza (Ferry Building),Powell Street BART,524,433,957
Grant Avenue at Columbus Avenue,Clay at Battery,891,62,953
Powell Street BART,Civic Center BART (7th at Market),705,247,952
Temporary Transbay Terminal (Howard at Beale),Howard at 2nd,905,43,948
2nd at Folsom,2nd at South Park,901,43,944
Market at 4th,Market at 4th,133,811,944
Embarcadero at Vallejo,Temporary Transbay Terminal (Howard at Beale),904,36,940
Market at 4th,Civic Center BART (7th at Market),802,130,932
Commercial at Montgomery,Davis at Jackson,907,22,929
Steuart at Market,Howard at 2nd,878,49,927
Harry Bridges Plaza (Ferry Building),Yerba Buena Center of the Arts (3rd @ Howard),766,160,926
Market at 10th,Steuart at Market,669,250,919
San Francisco Caltrain 2 (330 Townsend),Broadway St at Battery St,881,32,913
Civic Center BART (7th at Market),Market at Sansome,813,99,912
Steuart at Market,Steuart at Market,281,630,911
Post at Kearny,San Francisco Caltrain 2 (330 Townsend),883,25,908
Embarcadero at Vallejo,Embarcadero at Bryant,763,143,906
Townsend at 7th,Powell Street BART,791,111,902
Mechanics Plaza (Market at Battery),Powell Street BART,734,165,899
Temporary Transbay Terminal (Howard at Beale),Harry Bridges Plaza (Ferry Building),843,54,897
Steuart at Market,Spear at Folsom,872,23,895
San Francisco Caltrain 2 (330 Townsend),2nd at South Park,880,15,895
2nd at Townsend,2nd at Townsend,451,444,895
San Francisco Caltrain 2 (330 Townsend),Golden Gate at Polk,859,34,893
Commercial at Montgomery,Embarcadero at Bryant,870,23,893
Temporary Transbay Terminal (Howard at Beale),Yerba Buena Center of the Arts (3rd @ Howard),839,50,889
2nd at South Park,Townsend at 7th,820,68,888
Townsend at 7th,Howard at 2nd,863,25,888
Steuart at Market,Broadway St at Battery St,863,25,888
Clay at Battery,2nd at Townsend,801,84,885
Embarcadero at Sansome,Embarcadero at Vallejo,275,608,883
Powell at Post (Union Square),San Francisco Caltrain 2 (330 Townsend),812,70,882
5th at Howard,Steuart at Market,775,103,878
Market at 10th,Post at Kearny,825,52,877
Mechanics Plaza (Market at Battery),Embarcadero at Sansome,478,394,872
Spear at Folsom,Townsend at 7th,824,43,867
Market at 4th,Market at Sansome,690,177,867
Market at 4th,South Van Ness at Market,633,233,866
Market at Sansome,Temporary Transbay Terminal (Howard at Beale),843,19,862
Golden Gate at Polk,Townsend at 7th,824,36,860
St James Park,San Jose Diridon Caltrain Station,841,18,859
Spear at Folsom,Harry Bridges Plaza (Ferry Building),754,103,857
Ryland Park,San Jose Diridon Caltrain Station,821,31,852
Spear at Folsom,Steuart at Market,810,41,851
2nd at Townsend,Embarcadero at Vallejo,641,206,847
Temporary Transbay Terminal (Howard at Beale),Civic Center BART (7th at Market),821,23,844
Howard at 2nd,Townsend at 7th,800,43,843
Market at 10th,Market at 10th,312,531,843
Embarcadero at Vallejo,Embarcadero at Vallejo,137,703,840
San Francisco Caltrain 2 (330 Townsend),2nd at Townsend,795,45,840
