
start_station_name,end_station_name,latitude,longitude,total_trips
Commercial at Montgomery,Temporary Transbay Terminal (Howard at Beale),37.794231,-122.402923,1285
South Van Ness at Market,San Francisco Caltrain (Townsend at 4th),37.774814,-122.418954,1285
Cowper at University,Palo Alto Caltrain Station,37.448598,-122.159504,1285
Market at Sansome,Grant Avenue at Columbus Avenue,37.789625,-122.400811,1281
Spear at Folsom,San Francisco Caltrain 2 (330 Townsend),37.790302,-122.390637,1276
Embarcadero at Sansome,Market at 4th,37.80477,-122.403234,1272
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Vallejo,37.789756,-122.394643,1260
Embarcadero at Bryant,Embarcadero at Folsom,37.787152,-122.388013,1252
Howard at 2nd,2nd at Townsend,37.786978,-122.398108,1246
Civic Center BART (7th at Market),South Van Ness at Market,37.781039,-122.411748,1233
Mechanics Plaza (Market at Battery),Market at 4th,37.7913,-122.399051,1231
Harry Bridges Plaza (Ferry Building),Howard at 2nd,37.795392,-122.394203,1230
2nd at South Park,Temporary Transbay Terminal (Howard at Beale),37.782259,-122.392738,1229
Temporary Transbay Terminal (Howard at Beale),2nd at South Park,37.789756,-122.394643,1229
Market at 10th,Civic Center BART (7th at Market),37.776619,-122.417385,1226
Embarcadero at Sansome,Embarcadero at Bryant,37.80477,-122.403234,1216
2nd at Townsend,2nd at Folsom,37.780526,-122.390288,1215
Post at Kearny,San Francisco Caltrain (Townsend at 4th),37.788975,-122.403452,1202
South Van Ness at Market,Market at 4th,37.774814,-122.418954,1200
Embarcadero at Sansome,Mechanics Plaza (Market at Battery),37.80477,-122.403234,1199
Palo Alto Caltrain Station,Cowper at University,37.443988,-122.164759,1195
Civic Center BART (7th at Market),Market at 4th,37.781039,-122.411748,1187
University and Emerson,University and Emerson,37.444521,-122.163093,1184
Powell at Post (Union Square),San Francisco Caltrain (Townsend at 4th),37.788446,-122.408499,1181
Townsend at 7th,South Van Ness at Market,37.771058,-122.402717,1179
Grant Avenue at Columbus Avenue,Temporary Transbay Terminal (Howard at Beale),37.7979,-122.405942,1179
2nd at Townsend,Spear at Folsom,37.780526,-122.390288,1173
Grant Avenue at Columbus Avenue,Market at 4th,37.7979,-122.405942,1161
San Francisco Caltrain 2 (330 Townsend),South Van Ness at Market,37.7766,-122.39547,1157
